%%% This file is machine-generated.
%%% Date: 2025-09-16 12:43:16
%%% Author: ademin
%%% Generated by: src/generate_scripts.py results/EXAMPLE
%%% Environment: /home/ademin/no-matlab-no-worry/environments/venv

[Name]
seir

[Notes]


[Components]
time,OUTPUT1, OUTPUT2

[Componentnotes]

[Values]
-1.0,0.194,0.881
-0.998,0.194469201649655,0.881
-0.996,0.1949373077892579,0.881
-0.994,0.1954043202027773,0.881
-0.992,0.1958702406715349,0.881
-0.99,0.1963350709742088,0.881
-0.988,0.1967988128868371,0.881
-0.986,0.1972614681828224,0.881
-0.984,0.1977230386329362,0.881
-0.982,0.1981835260053197,0.881
-0.98,0.1986429320654859,0.881
-0.978,0.1991012585763495,0.881
-0.976,0.1995585072981696,0.881
-0.974,0.2000146799886203,0.881
-0.972,0.2004697784027582,0.881
-0.97,0.2009238042930342,0.881
-0.968,0.2013767594092972,0.881
-0.966,0.2018286454987975,0.881
-0.964,0.202279464306191,0.881
-0.962,0.2027292175735423,0.881
-0.96,0.2031779070403293,0.881
-0.958,0.203625534443444,0.881
-0.956,0.2040721015172024,0.881
-0.954,0.2045176099933436,0.881
-0.952,0.2049620616010307,0.881
-0.95,0.2054054580668675,0.881
-0.948,0.2058478011148753,0.881
-0.946,0.2062890924665288,0.881
-0.944,0.2067293338407407,0.881
-0.942,0.2071685269538694,0.881
-0.94,0.2076066735197227,0.881
-0.938,0.208043775249562,0.881
-0.936,0.2084798338521054,0.881
-0.934,0.2089148510335316,0.881
-0.932,0.2093488284974834,0.881
-0.93,0.209781767945071,0.881
-0.928,0.2102136710748778,0.881
-0.926,0.2106445395829589,0.881
-0.924,0.2110743751628516,0.881
-0.922,0.2115031795055715,0.881
-0.92,0.211930954299626,0.881
-0.918,0.2123577012310148,0.881
-0.916,0.2127834219832057,0.881
-0.914,0.2132081182372038,0.881
-0.912,0.2136317916714779,0.881
-0.91,0.2140544439620202,0.881
-0.908,0.2144760767823257,0.881
-0.906,0.2148966918034006,0.881
-0.904,0.2153162906937656,0.881
-0.902,0.2157348751194595,0.881
-0.9,0.2161524467440429,0.881
-0.898,0.2165690072286019,0.881
-0.896,0.2169845582317512,0.881
-0.894,0.2173991014096379,0.881
-0.892,0.2178126384159457,0.881
-0.89,0.2182251709018966,0.881
-0.888,0.2186367005162557,0.881
-0.886,0.2190472289053371,0.881
-0.884,0.2194567577130032,0.881
-0.882,0.2198652885806645,0.881
-0.88,0.2202728231472991,0.881
-0.878,0.220679363049437,0.881
-0.876,0.2210849099211871,0.881
-0.874,0.2214894653941894,0.881
-0.872,0.2218930310977247,0.881
-0.87,0.2222956086585608,0.881
-0.868,0.2226971997011023,0.881
-0.866,0.2230978058473198,0.881
-0.864,0.223497428716769,0.881
-0.862,0.2238960699265941,0.881
-0.86,0.2242937310915312,0.881
-0.858,0.2246904138239121,0.881
-0.856,0.2250861197336671,0.881
-0.854,0.225480850428329,0.881
-0.852,0.2258746075130366,0.881
-0.85,0.2262673925905378,0.881
-0.848,0.2266592072611925,0.881
-0.846,0.2270500531229785,0.881
-0.844,0.2274399317714909,0.881
-0.842,0.2278288447999482,0.881
-0.84,0.2282167937991986,0.881
-0.838,0.2286037803577129,0.881
-0.836,0.2289898060616059,0.881
-0.834,0.2293748724946134,0.881
-0.832,0.2297589812381282,0.881
-0.83,0.2301421338711768,0.881
-0.828,0.2305243319704328,0.881
-0.826,0.2309055771102394,0.881
-0.824,0.2312858708625463,0.881
-0.822,0.2316652147970024,0.881
-0.82,0.2320436104809037,0.881
-0.818,0.2324210594792102,0.881
-0.816,0.2327975633545486,0.881
-0.814,0.2331731236672164,0.881
-0.812,0.2335477419751844,0.881
-0.81,0.2339214198341007,0.881
-0.808,0.234294158797294,0.881
-0.806,0.2346659604157764,0.881
-0.804,0.2350368262382474,0.881
-0.802,0.2354067578110968,0.881
-0.8,0.235775756678408,0.881
-0.798,0.2361438243819621,0.881
-0.796,0.2365109624612398,0.881
-0.794,0.2368771724534263,0.881
-0.792,0.2372424558934128,0.881
-0.79,0.2376068143138024,0.881
-0.788,0.2379702492449105,0.881
-0.786,0.2383327622147675,0.881
-0.784,0.2386943547491306,0.881
-0.782,0.2390550283714743,0.881
-0.78,0.2394147846029969,0.881
-0.778,0.2397736249626409,0.881
-0.776,0.2401315509670649,0.881
-0.774,0.240488564130674,0.881
-0.772,0.2408446659656122,0.881
-0.77,0.2411998579817703,0.881
-0.768,0.2415541416867731,0.881
-0.766,0.2419075185860124,0.881
-0.764,0.2422599901826106,0.881
-0.762,0.2426115579774628,0.881
-0.76,0.2429622234692205,0.881
-0.758,0.2433119881542963,0.881
-0.756,0.2436608535268689,0.881
-0.754,0.2440088210788859,0.881
-0.752,0.2443558923000669,0.881
-0.75,0.2447020686779073,0.881
-0.748,0.2450473516976809,0.881
-0.746,0.2453917428424433,0.881
-0.744,0.2457352435930354,0.881
-0.742,0.246077855428086,0.881
-0.74,0.2464195798240155,0.881
-0.738,0.2467604182550391,0.881
-0.736,0.2471003721931692,0.881
-0.734,0.2474394431082204,0.881
-0.732,0.2477776324678096,0.881
-0.73,0.2481149417373622,0.881
-0.728,0.2484513723801151,0.881
-0.726,0.2487869258571155,0.881
-0.724,0.2491216036272316,0.881
-0.722,0.2494554071471497,0.881
-0.72,0.2497883378713745,0.881
-0.718,0.2501203972522482,0.881
-0.716,0.2504515867399309,0.881
-0.714,0.2507819077824194,0.881
-0.712,0.2511113618255524,0.881
-0.71,0.2514399503129937,0.881
-0.708,0.2517676746862629,0.881
-0.706,0.2520945363847149,0.881
-0.704,0.2524205368455548,0.881
-0.702,0.2527456775038342,0.881
-0.7,0.253069959792491,0.881
-0.698,0.2533933851422888,0.881
-0.696,0.2537159549818325,0.881
-0.694,0.2540376707376303,0.881
-0.692,0.2543585338340425,0.881
-0.69,0.2546785456932994,0.881
-0.688,0.2549977077355038,0.881
-0.686,0.2553160213786347,0.881
-0.684,0.2556334880385499,0.881
-0.682,0.2559501091289893,0.881
-0.68,0.256265886061578,0.881
-0.678,0.2565808202458291,0.881
-0.676,0.2568949130891471,0.881
-0.674,0.2572081659968306,0.881
-0.672,0.2575205803720757,0.881
-0.67,0.2578321576159786,0.881
-0.668,0.2581428991275389,0.881
-0.666,0.2584528063036631,0.881
-0.664,0.2587618805391663,0.881
-0.662,0.2590701232267769,0.881
-0.66,0.2593775357571382,0.881
-0.658,0.2596841195188123,0.881
-0.656,0.2599898758982821,0.881
-0.654,0.2602948062799562,0.881
-0.652,0.2605989120461692,0.881
-0.65,0.2609021945771906,0.881
-0.648,0.2612046552512146,0.881
-0.646,0.2615062954443798,0.881
-0.644,0.261807116530763,0.881
-0.642,0.2621071198823788,0.881
-0.64,0.2624063068691941,0.881
-0.638,0.2627046788591171,0.881
-0.636,0.2630022372180119,0.881
-0.634,0.2632989833096992,0.881
-0.632,0.2635949184959475,0.881
-0.63,0.2638900441364969,0.881
-0.628,0.2641843615890519,0.881
-0.626,0.2644778722092568,0.881
-0.624,0.2647705773507599,0.881
-0.622,0.2650624783651661,0.881
-0.62,0.2653535766020663,0.881
-0.618,0.2656438734089893,0.881
-0.616,0.2659333701314937,0.881
-0.614,0.2662220681130989,0.881
-0.612,0.2665099686953143,0.881
-0.61,0.2667970732176389,0.881
-0.608,0.2670833830175641,0.881
-0.606,0.2673688994305768,0.881
-0.604,0.2676536237901619,0.881
-0.602,0.2679375574278059,0.881
-0.6,0.268220701672999,0.881
-0.598,0.2685030578532386,0.881
-0.596,0.2687846272940318,0.881
-0.594,0.2690654113188985,0.881
-0.592,0.2693454112493743,0.881
-0.59,0.2696246284050129,0.881
-0.588,0.26990306410339,0.881
-0.586,0.270180719660105,0.881
-0.584,0.2704575963887844,0.881
-0.582,0.2707336956010849,0.881
-0.58,0.2710090186066959,0.881
-0.578,0.2712835667133423,0.881
-0.576,0.2715573412267875,0.881
-0.574,0.2718303434508366,0.881
-0.572,0.2721025746873383,0.881
-0.57,0.272374036236188,0.881
-0.568,0.2726447293953328,0.881
-0.566,0.2729146554607704,0.881
-0.564,0.2731838157265552,0.881
-0.562,0.2734522114847975,0.881
-0.56,0.2737198440256738,0.881
-0.558,0.2739867146374182,0.881
-0.556,0.2742528246063345,0.881
-0.554,0.2745181752168012,0.881
-0.552,0.2747827677512585,0.881
-0.55,0.2750466034902317,0.881
-0.548,0.2753096837123135,0.881
-0.546,0.2755720096941865,0.881
-0.544,0.275833582710619,0.881
-0.542,0.2760944040344534,0.881
-0.54,0.2763544749366233,0.881
-0.538,0.2766137966861621,0.881
-0.536,0.2768723705502193,0.881
-0.534,0.2771301977939736,0.881
-0.532,0.2773872796807763,0.881
-0.53,0.2776436174720604,0.881
-0.528,0.2778992124273128,0.881
-0.526,0.2781540658042097,0.881
-0.524,0.2784081788584904,0.881
-0.522,0.2786615528440185,0.881
-0.52,0.2789141890127742,0.881
-0.518,0.2791660886148568,0.881
-0.516,0.2794172528984878,0.881
-0.514,0.2796676831100133,0.881
-0.512,0.2799173804939068,0.881
-0.51,0.2801663462927722,0.881
-0.508,0.280414581747346,0.881
-0.506,0.2806620880965006,0.881
-0.504,0.2809088665772464,0.881
-0.502,0.2811549184247349,0.881
-0.5,0.2814002448722613,0.881
-0.498,0.2816448471512672,0.881
-0.496,0.2818887264913432,0.881
-0.494,0.2821318841202319,0.881
-0.492,0.2823743212638299,0.881
-0.49,0.2826160391461914,0.881
-0.488,0.28285703898953,0.881
-0.486,0.283097322014222,0.881
-0.484,0.2833368894388088,0.881
-0.482,0.2835757424799991,0.881
-0.48,0.2838138823526734,0.881
-0.478,0.284051310269884,0.881
-0.476,0.2842880274428589,0.881
-0.474,0.2845240350810052,0.881
-0.472,0.2847593343919112,0.881
-0.47,0.2849939265813481,0.881
-0.468,0.2852278128532743,0.881
-0.466,0.2854609944098367,0.881
-0.464,0.2856934724513726,0.881
-0.462,0.2859252481764168,0.881
-0.46,0.2861563227816957,0.881
-0.458,0.2863866974621428,0.881
-0.456,0.2866163734108832,0.881
-0.454,0.2868453518192611,0.881
-0.452,0.2870736338768114,0.881
-0.45,0.2873012207712878,0.881
-0.448,0.2875281136886591,0.881
-0.446,0.2877543138131089,0.881
-0.444,0.2879798223270268,0.881
-0.442,0.2882046404110377,0.881
-0.44,0.2884287692439863,0.881
-0.438,0.2886522100029291,0.881
-0.436,0.2888749638631561,0.881
-0.434,0.2890970319982139,0.881
-0.432,0.2893184155798418,0.881
-0.43,0.2895391157780436,0.881
-0.428,0.2897591337610431,0.881
-0.426,0.2899784706953294,0.881
-0.424,0.2901971277456101,0.881
-0.422,0.2904151060748609,0.881
-0.42,0.2906324068442658,0.881
-0.418,0.2908490312133011,0.881
-0.416,0.2910649803396825,0.881
-0.414,0.291280255379382,0.881
-0.412,0.2914948574866302,0.881
-0.41,0.2917087878139187,0.881
-0.408,0.2919220475120032,0.881
-0.406,0.2921346377299054,0.881
